id,translate,translate_description,source
2323,флаг,уникальный кусок ткани на древке для передачи информации,AI
2324,край дороги,боковой край дороги или велодорожки,AI
2325,расписание,расписание движения транспорта,AI
2326,велосипедист,"человек, передвигающийся на велосипеде",AI
2327,стиль вождения,манера езды,AI
2328,семейная компания,"компания, управляемая семьей",AI
2329,отец семейства,"мужчина с детьми, обычно заботящийся о них вместе с матерью",AI
2330,крепление,"держатель, фиксатор",AI
2331,очарование,притягательное воздействие,AI
2332,радиоочерк,нехудожественный радиожанр,AI
2333,неправильное поведение,неуместное поведение,AI
2334,деликатес,что‑то изысканное или деликатное,AI
2335,фирн,"масса льда из фирна, медленно движущаяся вниз по долине",AI
2336,торжественный акт,праздничная церемония,AI
2337,праздничный шатер,временный шатер для народных гуляний,AI
2338,жир,группа органических веществ — триэфиров глицерина и жирных кислот,AI
2339,влажность,состояние влажности; наличие воды в малых количествах,AI
2340,пожарное депо,здание пожарной службы,AI
2341,лихорадка,повышение температуры тела при болезни,AI
2342,кинорежиссер,"человек, снимающий игровые, короткие или документальные фильмы",AI
2343,налоговая инспекция,местный орган по управлению налоговыми поступлениями,AI
2344,министерство финансов,"ведомство, отвечающее за финансы государства",AI
2345,фитнес,физическое и психическое благополучие,AI
2346,атмосфера,положительная атмосфера (обычно места),AI
2347,бок,боковая часть тела четвероногого животного,AI
2348,пилот,"человек, управляющий летательным аппаратом",AI
2349,флот,группа связанных гражданских или военных кораблей,AI
2350,авиакомпания,"компания, осуществляющая регулярные рейсы для пассажиров или грузов",AI
2351,прилив,период подъема воды у морских побережий,AI
2352,футбол,"общее название командных игр с мячом, играемым ногами",AI
2353,сила,"сила, мощь (англ.)",AI
2354,форинт,средневековое платежное средство в Европе,AI
2355,формулировка,сознательно выбранная подборка слов для выражения мысли,AI
2356,фотограф,"человек, занимающийся созданием и обработкой снимков",AI
2357,фол,"нарушение правил, дающее несправедливое преимущество",AI
2358,вопросительный знак,знак препинания для вопросительного предложения,AI
2359,лидер фракции,"человек, возглавляющий фракцию",AI
2360,план мира,план установления мира,AI
2361,мороз,холод ниже нуля градусов Цельсия,AI
2362,гарантия,"обеспечение, обязательное обещание",AI
2363,трактир,"место, где можно поесть, выпить и/или переночевать",AI
2364,встречная полоса,полосы движения в противоположном направлении,AI
2365,соперник,"человек, против которого играют",AI
2366,пропущенный гол,"гол, забитый соперником",AI
2367,встречное движение,движение в противоположном направлении,AI
2368,разведслужба,"служба, тайно добывающая информацию для государства",AI
2369,кошелек,небольшой мешочек для хранения наличных,AI
2370,генеральная прокуратура,высшее ведомство в земле по преследованию и исполнению наказаний,AI
2371,генеральное собрание,обычно ежегодная встреча акционеров или членов общества,AI
2372,зал суда,помещение для судебных заседаний,AI
2373,запах,воспринимаемое обонянием испарение,AI
2374,весь год,"период, охватывающий полный год",AI
2375,общий ущерб,суммарный ущерб,AI
2376,пение,использование голоса для создания звуков и мелодий,AI
2377,форма,"внешний облик, контур, схема",AI
2378,министр здравоохранения,руководитель министерства здравоохранения,AI
2379,система здравоохранения,совокупность учреждений и правил в сфере здоровья,AI
2380,медицинское обеспечение,обеспечение в сфере здравоохранения,AI
2381,состояние здоровья,состояние здоровья человека,AI
2382,промысел,профессиональная деятельность ради заработка,AI
2383,промзона,территория для промышленно‑коммерческого использования,AI
2384,уверенность,"знание, почти не допускающее сомнений",AI
2385,саммит,конференция лидеров,AI
2386,гитара,популярный щипковый инструмент с 4–12 струнами,AI
2387,рельсовый путь,путь для поездов из двух параллельных рельсов,AI
2388,ледник,"масса льда, медленно движущаяся вниз под собственным весом",AI
2389,глобус,"шар с изображением небесного тела, например Земли",AI
2390,ров,длинная земляная выемка,AI
2391,графика,"искусство рисунка, письма или печати",AI
2392,трава,однодольное растение с узкими листьями,AI
2393,гриль,устройство для приготовления пищи на решетке,AI
2394,конституция,"основной закон государства, особенно ФРГ",AI
2395,базовое обеспечение,обеспечение базовых потребностей при нужде,AI
2396,первый камень,символический первый камень здания,AI
2397,земельный налог,налог на землю и ее застройку,AI
2398,эксперт,"специалист, оценивающий ситуацию для ведомства",AI
2399,хакер,"компьютерный специалист, умеющий обходить защиту",AI
2400,судья по аресту,"судья, решающий вопрос об аресте подозреваемого",AI
2401,град,осадки в виде ледяных шариков,AI
2402,петух,самец птиц,AI
2403,Хэллоуин,"вечер 31 октября, канун Дня всех святых",AI
2404,держатель,устройство для удержания или крепления,AI
2405,гандбол,мяч для игры в гандбол,AI
2406,торговый партнер,"государство или компания, ведущие торговлю",AI
2407,сумочка,"небольшая сумка, носимая в руке или на плече",AI
2408,ремесленник,"человек, профессионально занимающийся ремеслом",AI
2409,склон,наклонная местность; откос,AI
2410,гармония,"хорошая согласованность, особенно между партнерами",AI
2411,Хартманн,фамилия,AI
2412,главная причина,решающая причина,AI
2413,главный офис,важнейшее местонахождение компании или учреждения,AI
2414,дом,"жилище или учреждение, где кто‑то живет",AI
2415,домашняя победа,победа хозяев,AI
2416,герой,"человек, проявивший мужество или успех ради других",AI
2417,помощник,"человек, который помогает",AI
2418,вертолет,летательный аппарат с одним или несколькими горизонтальными винтами,AI
2419,яркость,наличие света,AI
2420,власть,правящие лица или люди с руководящими функциями,AI
2421,герцогиня,"женщина, обладающая титулом герцога",AI
2422,спешка,крайняя спешка,AI
2423,волна жары,длительный период очень жарких дней,AI
2424,Хофман,фамилия,AI
2425,Холокост,"массовое систематическое преследование, депортация и уничтожение европейских евреев нацистской Германией",AI
2426,Гонконг,специальный административный район Китая,AI
2427,мед,"продукт пчел из нектара или выделений тлей, служит пищей",AI
2428,горизонт,линия границы между видимой землей и небом,AI
2429,идеология,"система взглядов и мировоззрение; способ мышления о человеке и обществе, поддерживающий определенные цели; политико-социальная теория",AI
2430,иммунная система,биологическая защитная система высших организмов,AI
2431,вакцинация,введение антигена для формирования иммунитета,AI
2432,импульс,"толчок, побуждение",AI
2433,ввод в эксплуатацию,первое использование установки или машины,AI
2434,инфекция,передача возбудителей болезни,AI
2435,страна,"собственная страна; государство, к которому относятся",AI
2436,внутренний двор,"площадь, окруженная зданиями",AI
2437,инстанция,"учреждение, которому приписывают авторитет",AI
2438,интернет-сайт,"весь интернет-ресурс компании, организации или лица",AI
2439,интерпретация,попытка раскрыть значение произведения или текста,AI
2440,Изар,река в Баварии,AI
2441,ислам,"монотеистическая религия, возникшая в VII веке в Аравии",AI
2442,джокер,"карта особого значения, может заменять другие",AI
2443,Иордан,река и собственное имя,AI
2444,журналистика,практическая работа журналиста для СМИ,AI
2445,занятость молодежи,"работа молодежи, их трудовая занятость",AI
2446,юристка,женщина-юрист,AI
2447,пенитенциарное учреждение,все тюрьмы судебной системы для отбывания наказаний,AI
2448,министр юстиции,женщина-министр юстиции,AI
2449,министерство юстиции,"ведомство, отвечающее за юстицию",AI
2450,исправительное учреждение,здание для содержания осужденных и подследственных,AI
2451,канадец,гражданин Канады,AI
2452,кардинал,"титул, присваиваемый папой, дающий право выбирать папу",AI
2453,Карибы,юго-восточная часть Американского средиземноморья и острова,AI
2454,карнавал,период веселых празднований перед постом,AI
2455,ящик,запираемый прямоугольный контейнер,AI
2456,купец,владелец торгового предприятия или специалист в торговле,AI
2457,цена покупки,"сумма, которую нужно заплатить за товар",AI
2458,настольный футбол,"игра и устройство, имитирующие футбол со штангами и фигурками",AI
2459,уход за детьми,"присмотр, уход и воспитание маленьких детей",AI
2460,киоск,"отдельно стоящее строение, открытое с нескольких сторон",AI
2461,приход,минимальная административная единица христианской общины,AI
2462,прямой текст,нешифрованный и понятный текст,AI
2463,пианино,клавишный инструмент со звуком от струн,AI
2464,платье,цельный предмет одежды для женщин,AI
2465,малый город,город с населением 5–20 тысяч,AI
2466,малолитражка,"небольшой, но полноценный автомобиль",AI
2467,хлопок,очень короткий громкий звук,AI
2468,оруженосец,помощник и ученик рыцаря,AI
2469,узел,плотно переплетенная часть нити или веревки,AI
2470,Кобленц,город в Рейнланд-Пфальце,AI
2471,багажник,отсек для багажа в автомобиле,AI
2472,уголь,темно-бурая или черная горючая порода,AI
2473,комендант,"человек, командующий чем-либо",AI
2474,комплекс,совокупность взаимосвязанных элементов,AI
2475,консоль,электронное устройство для управления функциями,AI
2476,констелляция,взаимное положение планет,AI
2477,конструкция,процесс проектирования и создания,AI
2478,контратака,быстрое ответное нападение,AI
2479,контраст,резкое различие между двумя объектами,AI
2480,удар головой,удар по мячу головой,AI
2481,корректура,орфографическое и грамматическое исправление,AI
2482,больничная касса,орган обязательного медицинского страхования,AI
2483,медицинская страховка,страхование на случай болезни,AI
2484,районная лига,лига спортивного округа,AI
2485,районный совет,представительный орган округа,AI
2486,круговое движение,круговой участок дороги с въездами и выездами,AI
2487,конец войны,окончание войны; момент прекращения боевых действий,AI
2488,военное преступление,"действия, нарушающие международное право в войне",AI
2489,Крым,полуостров на Черном море,AI
2490,детектив,история о тяжком преступлении,AI
2491,криминальная полиция,сокр. от уголовной полиции,AI
2492,Куба,государство в Карибском море,AI
2493,кубический метр,объем куба с ребром 1 м,AI
2494,пластик,материал на основе синтетических полимеров,AI
2495,произведение искусства,творческая работа художника,AI
2496,курьер,"человек, передающий сообщения по службе",AI
2497,смена курса,изменение направления движения,AI
2498,рассол,раствор соли и воды для маринования,AI
2499,земельное ведомство,орган власти земли,AI
2500,земельное управление криминальной полиции,высший орган уголовной полиции земли,AI
2501,земельная лига,межрегиональный спортивный дивизион,AI
2502,земельный союз,объединение на уровне земли,AI
2503,Латинская Америка,регион от Мексики до Южной Америки,AI
2504,рейка,длинный деревянный брусок,AI
2505,лютня,струнный инструмент с грушевидным корпусом,AI
2506,громкоговоритель,устройство для преобразования электрической энергии в звук,AI
2507,ожидаемая продолжительность жизни,оценка длительности жизни,AI
2508,радость жизни,позитивное отношение к жизни,AI
2509,год жизни,один год в жизни человека,AI
2510,жизненное пространство,"пространство, где возможна жизнь",AI
2511,стиль жизни,характерное сочетание моделей поведения,AI
2512,пустота,"состояние, когда ничего нет",AI
2513,тело,живое тело человека или животного,AI
2514,легкость,малый вес,AI
2515,дорожное ограждение,защитное ограждение вдоль дороги,AI
2516,диспетчерский центр,"подразделение, из которого организуют определенные процессы",AI
2517,Лихтенштейн,княжество в Альпах,AI
2518,лимит,установленное предельное значение,AI
2519,левая партия,политическая партия левого толка,AI
2520,Лиссабон,столица Португалии,AI
2521,лицензия,официальное разрешение,AI
2522,ослабление,действие по разрыхлению или смягчению,AI
2523,логика,учение о законах мышления,AI
2524,логистика,планирование и управление потоками товаров и информации,AI
2525,люк,откидная дверь или закрываемое отверстие,AI
2526,деятель,"человек, который активно действует или создает",AI
2527,магия,предполагаемое сверхъестественное воздействие,AI
2528,художник,"человек, пишущий картины",AI
2529,манипуляция,нежелательное или запрещенное изменение,AI
2530,рыночная стоимость,стоимость товара на рынке,AI
2531,маска,предмет для сокрытия лица или защиты,AI
2532,массовое убийство,убийство большого числа людей,AI
2533,математика,наука об абстрактных структурах и их свойствах,AI
2534,лекарство,препарат для лечения или профилактики,AI
2535,чемпионский титул,"звание, получаемое за победу",AI
2536,человеческая жизнь,длительность жизни человека,AI
2537,микрофон,устройство для записи звуков,AI
2538,миллиметр,тысячная часть метра,AI
2539,недоверие,сомнение по отношению к кому-либо,AI
2540,общее собрание,собрание членов организации,AI
2541,соучастник игры,участник игры,AI
2542,соратник,"человек, борющийся за ту же цель",AI
2543,обед,прием пищи в полдень,AI
2544,Средневековье,средняя эпоха истории,AI
2545,средняя школа,школа между гимназией и основной школой,AI
2546,режим,"способ, образ действий",AI
2547,монстр,сказочное чудовище,AI
2548,следственная группа,подразделение уголовной полиции по убийствам,AI
2549,музыкант,женщина-музыкант,AI
2550,музыкальная школа,учебное заведение для обучения музыке,AI
2551,мусульмане,множественное число слова мусульманин,AI
2552,миф,предание о прошлом народа и его богах,AI
2553,сосед,"человек, живущий поблизости",AI
2554,преемница,женщина-преемник,AI
2555,доказательство,доказательство или подтверждение утверждения либо теории,AI
2556,ноготь,роговое образование из кератиновых пластинок на пальцах рук и ног,AI
2557,вода,вода,AI
2558,национальный парк,природная территория для охраны экосистем и отдыха или просвещения,AI
2559,национал-социализм,"идеология, основанная на расизме и антисемитизме, возникшая в Германии после Первой мировой войны",AI
2560,национальная сборная,сборная спортсменов для международных соревнований,AI
2561,сеть,система взаимосвязанных компьютеров,AI
2562,новое начало,повторное начало деятельности,AI
2563,переиздание,повторный выпуск печатного произведения,AI
2564,нововведение,новое изменение,AI
2565,любопытство,стремление к новому и неизвестному,AI
2566,Нижний Рейн,регион на нижнем Рейне,AI
2567,осадки,"вода, выпадающая на землю после достижения точки росы в виде дождя, снега, росы, тумана, инея, града или снежной крупы",AI
2568,номинирование,состояние быть номинированным (предложенным или назначенным),AI
2569,высший земельный суд,"суд, расположенный между земельным судом и федеральным судом",AI
2570,печь,устройство для нагрева или сжигания,AI
2571,ох,выражение удивления,AI
2572,олимпийский стадион,"стадион, где проходят Олимпийские игры",AI
2573,оптика,"раздел физики, изучающий распространение света",AI
2574,управление порядка,муниципальное ведомство по обеспечению порядка,AI
2575,населенный пункт,связная территория поселения,AI
2576,Восточная Германия,восточная часть Германии,AI
2577,Восточная Европа,регион Европы,AI
2578,наряд,совокупность одежды и создаваемый образ,AI
2579,овал,овальная форма или поверхность,AI
2580,океан,большой связный водный массив Земли,AI
2581,рай,сад Эдем; место блаженных после смерти,AI
2582,смола,остаток при производстве дегтя,AI
2583,персоналия,официальные сведения о лице,AI
2584,Перу,государство в Южной Америке,AI
2585,перцовый спрей,средство самообороны с раздражающей жидкостью,AI
2586,растение,"эукариотический организм, способный к фотосинтезу",AI
2587,дом престарелых,место стационарного ухода за нуждающимися,AI
2588,физика,наука о фундаментальных законах природы,AI
2589,пилотный проект,показательный или испытательный проект для будущих проектов,AI
2590,писта,слабо укрепленная дорога,AI
2591,плакат,большой лист с изображением и информацией,AI
2592,тент,плотное покрывало для защиты от дождя и солнца,AI
2593,определенность планирования,уверенность и стабильность для планов,AI
2594,пьедестал,"возвышение, хорошо видимое для всех",AI
2595,политик,"женщина, профессионально занимающаяся политикой",AI
2596,полицейский отчет,доклад о происшествии или преступлении,AI
2597,полицейская дирекция,вышестоящее полицейское ведомство,AI
2598,полицейский патруль,патрулирование участка полицейскими,AI
2599,порция,определенное количество,AI
2600,Прага,столица Чехии,AI
2601,призовые деньги,"денежная сумма, выдаваемая как приз",AI
2602,священник,посредник между человеком и божеством,AI
2603,производитель,"лицо или предприятие, создающее продукцию",AI
2604,протокол,письменная запись по определенной форме,AI
2605,провокация,"действие, вызывающее реакцию",AI
2606,психиатрия,область медицины о психических расстройствах,AI
2607,квартира,"место проживания, квартал",AI
2608,бордюрная клумба,узкое декоративное цветочное насаждение,AI
2609,велосипедистка,"женщина, едущая на велосипеде",AI
2610,радикал,частица с неспаренным электроном,AI
2611,адвокат,"юрист, допущенный к консультации и представительству",AI
2612,правый экстремизм,"идеологии, отвергающие демократию и стремящиеся к «народному сообществу»",AI
2613,правовое государство,"государство, где власть связана законом",AI
2614,судебный спор,судебное разбирательство,AI
2615,снижение,уменьшение количества или масштаба,AI
2616,уменьшение,процесс сокращения,AI
2617,правительственная программа,планы и цели правительства,AI
2618,правительственный советник,титул высшего чиновника,AI
2619,режиссер,"женщина, осуществляющая художественное руководство",AI
2620,раздражитель,внешнее или внутреннее воздействие,AI
2621,релевантность,важность в данном контексте,AI
2622,пенсионное страхование,"страхование, выплачивающее пенсию",AI
2623,ремонт,меры по восстановлению работоспособности,AI
2624,резонанс,колебание системы под внешним воздействием,AI
2625,спасатель,"человек, оказывающий помощь",AI
2626,проверка,"пересмотр, контроль",AI
2627,рецессия,период отрицательного экономического роста,AI
2628,риторика,искусство убедительной речи,AI
2629,борьба,"вид спорта, основанный на захватах",AI
2630,трещина,"разрыв, раскол материала",AI
2631,скутер,мотороллер,AI
2632,инвалидная коляска,средство передвижения для людей с ограничениями,AI
2633,рутина,"привычное, отработанное действие",AI
2634,мастер,человек с большим опытом,AI
2635,весло,стержень с лопастью для гребли,AI
2636,обход,маршрут с возвращением к началу,AI
2637,обстоятельства,факты и их связи,AI
2638,сезонная победа,победа в сезоне,AI
2639,Сауэр,река в Германии и Люксембурге,AI
2640,Зауэрланд,регион в Северном Рейне-Вестфалии,AI
2641,скорлупа,"твердая оболочка, например у плодов",AI
2642,сокровище,скрытая коллекция драгоценностей,AI
2643,драма,театральная пьеса,AI
2644,развод,юридическое расторжение брака,AI
2645,слой,геологическая формация между другими слоями,AI
2646,рельс,стальной профиль для движения поездов,AI
2647,спальня,комната для сна,AI
2648,обмен ударами,чередование ударов,AI
2649,задний фонарь,огонь на задней части машины,AI
2650,Шотландия,страна в составе Великобритании,AI
2651,ужас,сильное потрясение,AI
2652,письменный стол,стол для письма,AI
2653,директор школы,руководитель школы,AI
2654,деревенский староста,исторический глава деревни,AI
2655,огнестрельное оружие,оружие для стрельбы,AI
2656,Шварцвальд,среднегорье в Баден-Вюртемберге,AI
2657,бассейн,место для купания и плавания,AI
2658,сегмент,часть целого,AI
2659,тоска,сильное желание чего-либо,AI
2660,боковая линия,линия края поля,AI
2661,смена сторон,переход команд на другую половину поля,AI
2662,самоопределение,свобода распоряжаться собственной судьбой,AI
2663,уверенность в себе,самооценка и самоуверенность,AI
2664,редкость,свойство быть редким,AI
2665,сенсация,"событие, вызывающее ажиотаж",AI
2666,поселение,населенный пункт с домами,AI
2667,новогодняя ночь,ночь с 31 декабря на 1 января,AI
2668,лыжный курорт,район с горнолыжными трассами,AI
2669,диван,мягкая мебель для сидения,AI
2670,солдат,военнослужащий,AI
2671,сорт,вид внутри рода,AI
2672,разделение,разделение под воздействием,AI
2673,первый копок,первое втыкание лопаты в землю,AI
2674,игрок,женщина-участник игры,AI
2675,игровое поле,площадка для игры,AI
2676,вид спорта,отдельная спортивная дисциплина,AI
2677,спортзал,зал для занятий спортом,AI
2678,спортплощадка,открытая площадка для спорта,AI
2679,прыгун,"человек, выполняющий прыжок",AI
2680,изречение,краткая формула слов,AI
2681,глава государства,человек во главе государства,AI
2682,стабилизация,укрепление против внешних влияний,AI
2683,стадия,этап развития,AI
2684,стойло,помещение для животных,AI
2685,штириец,житель Штирии,AI
2685,штириец,житель Штирии,AI
2686,сокращение персонала,уменьшение штата,AI
2686,сокращение штата,уменьшение числа сотрудников,AI
2687,значимость,важность позиции,AI
2687,значимость,"важность, придаваемая человеку или вещи",AI
2688,штевень,деталь корпуса судна у носа и кормы,AI
2688,штевень,"часть корпуса у носа и кормы, продолжение киля",AI
2689,укол,прокол острым предметом,AI
2689,укол,проникновение острого предмета в тело,AI
2690,контрольный срок,фиксированная дата,AI
2690,контрольная дата,установленный крайний срок,AI
2691,ключевое слово,слово для поиска в словаре,AI
2691,ключевое слово,заглавное слово в словаре или указатель,AI
2692,заявление в полицию,сообщение о преступлении,AI
2692,заявление о преступлении,сообщение о преступлении в полицию или прокуратуру,AI
2693,забастовка,коллективное прекращение работы для давления в трудовом споре,AI
2694,строгость,жесткое и бескомпромиссное следование правилам,AI
2695,отключение электроэнергии,неплановое прерывание электроснабжения,AI
2696,электросеть,сеть станций и линий для снабжения потребителей,AI
2697,электроснабжение,обеспечение и поставка электричества,AI
2698,самоубийство,лишение себя жизни по собственной воле,AI
2699,место в таблице,позиция в таблице спортивной лиги,AI
2700,ежедневная газета,"газета, выходящая по рабочим дням",AI
2701,тактика,целенаправленный или ориентированный на победу способ действий,AI
2702,тариф,установленная цена за услугу,AI
2703,клавиатура,устройство ввода с нажимаемыми клавишами,AI
2704,такси,автомобиль для платной перевозки пассажиров,AI
2705,тесто,"формуемая масса из ингредиентов, основа выпечки",AI
2706,территория,ограниченная область с притязаниями на власть,AI
2707,террор,насилие группы ради достижения целей,AI
2708,терроризм,"применение насилия ради политических, военных или криминальных целей",AI
2709,подорожание,рост цен,AI
2710,тематика,совокупность тем,AI
2711,тезис,"утверждение, еще не доказанное",AI
2712,Тургau,кантон в Швейцарии,AI
2713,подземный паркинг,подземный гараж для автомобилей,AI
2714,причина смерти,причина наступления смерти,AI
2715,допуск,допустимое отклонение от нормы,AI
2716,бочка,"круглый контейнер, часто металлический",AI
2717,Тони,мужское имя,AI
2718,инструмент,программа для специфических задач,AI
2719,гастроли,тур артистов с выступлениями,AI
2720,тренер,женщина‑тренер,AI
2721,транзакция,"последовательность операций, выполняемая полностью или никак",AI
2722,транспарант,широкий плакат на ткани или бумаге с сообщением для демонстраций,AI
2723,погонщик,"человек, направляющий животных",AI
2724,лестница,подъем и спуск по ступеням,AI
2725,трюк,"хитрость или прием, непонятный посторонним",AI
2726,питьевая вода,"вода, пригодная для питья по стандартам",AI
2727,утешение,"действие или жест, облегчающий страдание",AI
2728,Турин,город в Италии,AI
2729,преобразование,изменение внешнего вида или реформирование,AI
2730,пригородная зона,окрестности города или местности,AI
2731,объезд,обходной маршрут из‑за аварии или стройки,AI
2732,охрана окружающей среды,меры по защите экосистемы и климата,AI
2733,ход аварии,подробная последовательность событий несчастного случая,AI
2734,причина аварии,"фактор, вызвавший несчастный случай",AI
2735,фракция союза,"фракция, образованная партиями CDU и CSU",AI
2736,вселенная,космос,AI
2737,разрыв,прерывание соединения,AI
2738,предпринимательница,женщина‑владелец компании,AI
2739,подпись,рукописный автограф как подтверждение,AI
2740,подписание,проставление подписи на документе,AI
2741,неудовлетворенность,состояние несогласия с имеющимся,AI
2742,уран,химический элемент с атомным номером 92,AI
2743,Ури,кантон в Швейцарии,AI
2744,Ванкувер,город в Канаде,AI
2745,вандализм,умышленная бессмысленная порча имущества,AI
2746,прощание,действие прощания,AI
2747,местонахождение,неизвестное место пребывания,AI
2748,потребление,использование блага по количеству,AI
2749,преследователь,"тот, кто преследует",AI
2750,присуждение,передача или распределение чего‑то,AI
2751,арест,исполнение ордера на арест,AI
2752,безопасность движения,безопасность на дорогах,AI
2753,прокладка,профессиональная установка или монтаж,AI
2754,посредник,"человек, стремящийся примирить спор",AI
2755,посредничество,установление связи или результата,AI
2756,предположение,неподтвержденное знание или догадка,AI
2757,сеть связей,связывание систем или людей,AI
2758,разум,способность логически мыслить и выводить,AI
2759,упаковка,оболочка для защиты содержимого,AI
2760,питание,обеспечение едой и питьем,AI
2761,страховщик,"компания, обещающая возмещение ущерба",AI
2762,замещение,временное представительство,AI
2763,сбыт,меры по продаже продукции,AI
2764,неуверенность,утрата уверенности,AI
2765,совет управляющих,орган с контрольными или руководящими функциями,AI
2766,путаница,отсутствие порядка,AI
2767,употребление,потребление пищи,AI
2768,отчаяние,состояние без надежды,AI
2769,четвероногое,животное с четырьмя ногами,AI
2770,Вьетнам,государство в Юго‑Восточной Азии,AI
2771,птичий грипп,вирусная болезнь птиц типа гриппа,AI
2772,народный праздник,традиционное массовое мероприятие,AI
2773,народная республика,самоназвание некоторых социалистических государств,AI
2774,народная школа,ранняя форма обязательной школы,AI
2775,экономика,совокупная экономика государства,AI
2776,период прошлого года,тот же период предыдущего года,AI
2777,предыдущий месяц,месяц перед текущим,AI
2778,отборочный этап,фаза до основной стадии соревнования,AI
2779,предсезонье,период перед главным сезоном,AI
2780,председательство,позиция руководителя органа,AI
2781,заблаговременная забота,подготовка к будущим событиям,AI
