id,translate,translate_description,source
3232,value added tax,sales tax with input tax deduction,AI
3233,Melbourne,city in Australia,AI
3234,crowd,larger gathering of people,AI
3235,meteorologist,person trained in meteorology,AI
3236,Mika,given name,AI
3237,mildness,trait of gentleness,AI
3238,militia,non standing forces supplementing regular troops,AI
3239,Minnesota,US state,AI
3240,miss,woman who wins a beauty or appearance contest,AI
3241,affectedness,ability or process of sharing in a damage suffered by others,AI
3242,midday time,time around 12:00,AI
3243,Central Europe,region in Europe,AI
3244,SME sector,totality of small and medium sized companies,AI
3245,mobbing,psychological terror to push someone to leave their job,AI
3246,mobile phone,cordless phone that works via radio network,AI
3247,monitor,computer screen,AI
3248,mounting,assembly of objects,AI
3249,morals,values and good customs of a society or person,AI
3250,motion,derivation of female person or animal terms from male words and sometimes male from female,AI
3251,motorsport,all sports aiming at fast or skillful driving of motor vehicles,AI
3252,music association,association of people for making or promoting music,AI
3253,mu,twelfth letter of the Greek alphabet,AI
3254,female neighbor,female person living nearby,AI
3255,estate,totality of what a deceased person leaves behind,AI
3256,central bank,central bank of a state,AI
3257,national coach,coach of a national selection team,AI
3258,navigation,control and guidance of a vehicle along a route,AI
3259,Naples,city in Italy,AI
3260,nest,place where young are raised and animals live such as birds,AI
3261,network operator,company operating a network infrastructure such as mobile network,AI
3262,realignment,new strategic orientation,AI
3263,redesign,new design of something,AI
3264,newsletter,regular message usually by email with news sent to subscribers,AI
3265,Lower Bavarians,genitive singular of Niederbayer,AI
3266,Nigeria,state in West Africa,AI
3267,nix,water spirit,AI
3268,northern Germany,northern region of Germany,AI
3269,Northern Ireland,part of the United Kingdom,AI
3270,nostalgia,yearning reverent return to the past,AI
3271,central bank,bank authorized by the state to issue banknotes,AI
3272,emergency situation,difficult threatening situation,AI
3273,novella,short narrative about a single unusual event,AI
3274,upper league,regional or national league level,AI
3275,thigh,upper part of the leg between knee and pelvis,AI
3276,chairwoman,female person who leads an association party or organization,AI
3277,custody,protective supervision of someone,AI
3278,Odesa,city in Ukraine,AI
3279,Olympic champion,athlete or team that won an Olympic competition,AI
3280,grandpa,grandfather father of the father or mother,AI
3281,opposition party,party not involved in the government,AI
3282,organizer,person who prepares actions or processes,AI
3283,organ,large musical instrument often in churches with manuals and foot keyboard,AI
3284,local head,person who heads a locality,AI
3285,palace,large representative residential building or building for political and cultural activities,AI
3286,palette,board for mixing paints,AI
3287,paragraph,section sign used to divide enumerating texts,AI
3288,parquet,wood flooring made of small pieces in patterns,AI
3289,parking garage,multi story building for parking vehicles,AI
3290,parliamentary election,election that determines parliament composition,AI
3291,female patient,female person receiving medical treatment,AI
3292,staff shortage,lack of personnel,AI
3293,pan,flat vessel for frying on a stove,AI
3294,pepper,genus Piper from the pepper family,AI
3295,adhesive plaster,tape used to fix dressings or tubes,AI
3296,care insurance,insurance providing subsidy when care is needed,AI
3297,official match,game within an official competition or tournament,AI
3298,mushroom,organism of filamentous threads lacking chlorophyll kingdom fungi with animal and plant traits,AI
3299,pipeline,large often cross border pipe for gas oil or other fluids or gases,AI
3300,planet,non luminous round celestial body orbiting a star and clearing its orbit,AI
3301,placement,place or rank,AI
3302,ejection,ejection from the field as a penalty,AI
3303,player,device that plays audio and video media,AI
3304,polarization,alignment of particles or electromagnetic waves,AI
3305,Pole,citizen of Poland,AI
3306,police station,police service office,AI
3307,police station,building or rooms used by police unit,AI
3308,policewoman,female member of the police,AI
3309,wallet,small container for carrying money,AI
3310,positioning,fixing a position,AI
3311,award ceremony,event honoring people with a prize,AI
3312,freedom of the press,right to publish information and opinions without censorship,AI
3313,spokesperson,person representing an organization to the public and media,AI
3314,female spokesperson,female person representing an organization to the public and media,AI
3315,problematic,all problems and difficulties of a matter,AI
3316,female professor,female professor and researcher at a university,AI
3317,project leader,male person who leads a project,AI
3318,prostitution,offering and performing sexual acts for payment,AI
3319,psychology,science of conscious and unconscious mental processes and behavior,AI
3320,female psychologist,female person who completed studies in psychology,AI
3321,psychotherapy,methods to heal or relieve mental social behavioral and bodily function disorders,AI
3322,pullover,long sleeved garment covering the upper body,AI
3323,pulse,pressure wave felt in arteries during heart systole,AI
3324,square kilometer,SI area unit equal to a square with side length of one kilometer,AI
3325,quartet,musical work for four solo voices or instruments,AI
3326,quiz,question and answer game with time limits,AI
3327,radar,detection method using electromagnetic waves and reflected echoes,AI
3328,rally,event held in stages on closed roads rather than a racetrack,AI
3329,ranking list,list ordering objects or people by criteria,AI
3330,black horse,horse with black coat,AI
3331,advisor,person who gives advice,AI
3332,mayor,head of city administration,AI
3333,robbery,violent taking theft,AI
3334,space flight,flight of a manned vehicle beyond Earths atmosphere,AI
3335,intoxication,mental state of bliss or confusion and nausea from drugs,AI
3336,raid,military raid or limited offensive operation sudden attack,AI
3337,computer,device performing mathematical or logical operations,AI
3338,recycling,reuse of waste to make new products,AI
3339,speaker,person who gives a public speech,AI
3340,referendum,vote by the people,AI
3341,government formation,formation of a government and its members,AI
3342,governing coalition,coalition of parties forming a government,AI
3343,registration,act of registering in a directory,AI
3344,wealth,great material possessions,AI
3345,sequence,ordered succession,AI
3346,destination,place a trip is intended to reach,AI
3347,race track,prepared enclosed track for speed competitions,AI
3348,renovation,faithful restoration of a building,AI
3349,repertoire,collection of works roles or pieces ready to be performed,AI
3350,residence,residence of a head of state prince high cleric or diplomat,AI
3351,resolution,statement with demands adopted by a meeting,AI
3352,territory,animal territory defended against rivals,AI
3353,riad,house with atrium or inner garden in Morocco,AI
3354,directive,legally binding instruction without law character,AI
3355,castaway,person living alone on a deserted island,AI
3356,Romance person,male person belonging to a Romance speaking European people,AI
3357,rosary,form of prayer rosary prayer,AI
3358,Rotterdam,city in the Netherlands,AI
3359,fame,high notoriety and recognition for positive achievement,AI
3360,sabotage,planned hidden damage or destruction of infrastructure,AI
3361,sack,bag or container made of coarse fabric or robust material,AI
3362,season start,beginning of a season period,AI
3363,season game,game within a season,AI
3364,collector,person who collects items often as a hobby,AI
3365,semi trailer,combination of tractor and trailer,AI
3366,statutes,written basic order of a legal association,AI
3367,cleanliness,hygienic state of a thing or person,AI
3368,oxygen,chalcogen with strong oxidizing effect,AI
3369,sauna,room for sweating with very high temperature and low humidity,AI
3370,shame,anxious feeling triggered by observed wrongdoing,AI
3371,disgrace,something that greatly harms a persons reputation,AI
3372,shop window,window for displaying goods to passersby,AI
3373,barn,farm building for storing goods especially grain,AI
3374,shield,usually round domed object that protects or prevents an action,AI
3375,stroke,acute brain illness due to vessel blockage or bleeding,AI
3376,snowfall,falling of snow precipitation in the form of snow,AI
3377,fragment,cut off piece of a whole a scrap,AI
3378,writer,person who writes or has written something,AI
3379,script,system of signs to record language,AI
3380,female writer,female person who writes literary works,AI
3381,lettering,distinctive handwriting or letter style of a text,AI
3382,thrust,force in a direction that causes acceleration,AI
3383,shoe,outer footwear,AI
3384,school hours,time of day when school is in session from start to end,AI
3385,swimmer,person who swims,AI
3386,senator,member of a senate,AI
3387,Seoul,capital of South Korea,AI
3388,serge,textile fabric in twill weave from silk cotton or worsted,AI
3389,shop,small retail store or premises where goods are sold,AI
3390,security situation,overall circumstances of general safety or protection against threat,AI
3391,security policy,political measures aimed at avoiding military conflicts,AI
3392,perspective,view or assessment from a particular angle,AI
3393,settler,person who settles in a new place they consider suitable,AI
3394,award ceremony,ceremonial honoring of top places in a competition,AI
3395,female winner,female person or team that wins a victory,AI
3396,sculpture,branch of sculpture dealing with three dimensional works made by subtractive process,AI
3397,slalom,course with many close alternating tight turns,AI
3398,slogan,often repeated stylized advertising statement in politics and advertising,AI
3399,Sofia,capital of Bulgaria,AI
3400,Solingen,city in North Rhine Westphalia,AI
3401,special session,session held for a special reason not as scheduled,AI
3402,social assistance,state aid aimed at meeting basic needs,AI
3403,sector,defined part of a larger whole,AI
3404,special,special offer in English,AI
3405,fundraising campaign,measure to collect donations for a specific purpose,AI
3406,donor,person or organization that gives money goods or services without equivalent return,AI
3407,playmaker,player who coordinates play and influences tactics,AI
3408,game platform,platform or medium for games such as board games,AI
3409,toy,things or objects for playing,AI
3410,lead candidate,candidate at the top of an electoral list,AI
3411,top match,sporting contest between two top teams,AI
3412,state protection,protection of the state and security,AI
3413,urban development,development of a city,AI
3414,city municipality,municipality of a city,AI
3415,city park,park located in a city,AI
3416,city center,central part of a city,AI
3417,trunk,part of a tree between root and crown,AI
3418,regular player,player regularly used in a team over time,AI
3419,statue,freestanding three dimensional sculpture,AI
3420,stature,outer appearance body size build and stature,AI
3421,ballot,form on which one marks who to vote for,AI
3422,forehead,part of the face between eyebrows and hairline,AI
3423,Stockholm,capital of Sweden,AI
3424,cut,cut or cancellation of funds or jobs,AI
3425,electricity consumption,use of electrical energy,AI
3426,student,person who studies at a university or university of applied sciences,AI
3427,female student,female person studying at a university,AI
3428,search operation,undertaking to find someone or something,AI
3429,synagogue,place where the Jewish community meets for prayer and instruction,AI
3430,top of the table,lead in a competition table,AI
3431,day course,course of the day,AI
3432,aunt,sister of a persons mother or father,AI
3433,cup,small drinking vessel with a handle,AI
3434,time of crime,time or period when a crime was committed,AI
3435,diver,living being that moves under the water surface,AI
3436,team spirit,cooperative comradely action among a team with common interest,AI
3437,technician,trained specialist in technology,AI
3438,particle,very small object compared to the system especially smaller than an atom,AI
3439,part time,employment with less than full working time,AI
3440,terrain,manageable limited area of land,AI
3441,terrorist attack,attack with terrorist background,AI
3442,thriller,book film or play with suspense and excitement,AI
3443,lowest point,lowest point of a path or development,AI
3444,zoo,garden like facility showing live animals of different species,AI
3445,animal park,facility where animals are kept in captivity and presented to visitors,AI
3446,animal protection,measures to protect animals from suffering,AI
3447,tiger,very strong solitary big cat with striped fur native to Asia,AI
3448,timing,temporal coordination or adjustment,AI
3449,death case,death of a person,AI
3450,total loss,damage beyond economic or technical repair,AI
3451,memorial service,ceremonial event in memory of a deceased person,AI
3452,trend reversal,decisive change of an existing trend,AI
3453,stairwell,area of a building with stairs leading to other floors,AI
3454,loyalty,maintenance of an attitude or state,AI
3455,shoot,young newly formed plant shoot,AI
3456,truck,large truck,AI
3457,gymnasium,large hall for sports exercises or events,AI
3458,time,time shown by a clock,AI
3459,renaming,changing the name of something or someone,AI
3460,vicinity,surrounding area,AI
3461,sales growth,growth of turnover,AI
3462,downfall,process in which something goes under or disappears,AI
3463,maintenance,material support for persons,AI
3464,investigative committee,committee often parliamentary to investigate matters of public interest,AI
3465,minority,smaller number compared to another,AI
3466,Valencia,orange variety,AI
3467,club history,history of a club,AI
3468,offense,act that violates morals or the law,AI
3469,negotiation table,table where negotiation participants sit,AI
3470,means of transport,device for moving people or goods,AI
3471,relocation,shift to another place,AI
3472,marketing,promoting sales of products or services based on market needs,AI
3473,treason,passing on information without consent,AI
3474,debtness,extent to which a person organization or institution has borrowed money,AI
3475,reason,ability to understand judge and think logically,AI
3476,expulsion,measure to force someone to leave a place,AI
3477,quarter hour,period of 15 minutes,AI
3478,deputy,deputy,AI
3479,runner up,second most successful in a competition for a championship,AI
3480,bailiff,feudal often noble official,AI
3481,full moon,moon appearing as a full disk,AI
3482,eve,evening or day before a holiday or special event,AI
3483,right of way,right to proceed first at intersecting roads,AI
3484,guideline,regulation guideline or claim,AI
3485,method,planned or spontaneous action to reach a goal,AI
3486,preview,foretaste of what is to come,AI
3487,curtain,one or more panels of fabric used to cover openings or divide rooms,AI
3488,forecast,statement about something that will be in the future,AI
3489,same month last year,month one year ago,AI
3490,priority,higher importance than something else,AI
3491,pioneer,person or institution that does something new first,AI
3492,board member,person who is part of the executive group,AI
3493,female chairwoman,female person chairing the board,AI
3494,chairman,person who chairs the board,AI
3495,pretext,contrived justification for an action,AI
3496,omen,sign indicating something to come,AI
3497,vote,vote in a ballot or election,AI
3498,weapons law,law regulating purchase and handling of weapons and ammunition,AI
3499,election program,program of a party for an election,AI
3500,forest fire,spreading fire in a forest,AI
3501,Valais,canton in Switzerland,AI
3502,product test,test of goods or products,AI
3503,warner,person who warns others of possible unwanted consequences,AI
3504,maintenance,measures to check and maintain to prevent wear,AI
3505,removal,something that no longer exists such as a law or job,AI
3506,Santa Claus,male figure similar to Saint Nicholas bringing gifts at Christmas,AI
3507,wine estate,operation that grows and produces wine,AI
3508,World Health Organization,UN body dealing with global health issues,AI
3509,world ranking,worldwide list ranking objects or people by a criterion,AI
3510,outer space,space outside the Earths atmosphere,AI
3511,world record,world best performance recognized by sports authorities,AI
3512,idiom,fixed phrase whose meaning is not derived from components,AI
3513,shipyard,industrial facility for building and repairing ships or aircraft,AI
3514,security,document that embodies a tradable right,AI
3515,importance,quality of being important,AI
3516,resumption,continuation of an interrupted activity,AI
3517,return,act of appearing again,AI
3518,reelection,confirmation of an office holder by a new election,AI
3519,winegrower,person who grows and sometimes produces wine,AI
3520,economy ministry,ministry responsible for economic development,AI
3521,scientist,term used in Austria Switzerland and Liechtenstein,AI
3522,weather conditions,weather course over a period in a limited area,AI
3523,widow,woman whose spouse has died,AI
3524,motorhome,vehicle equipped for living and sleeping while traveling,AI
3525,housing market,totality of supply and demand for apartments,AI
3526,yoga,philosophical system from India with mental and physical exercises,AI
3527,time pressure,pressure caused by limited time,AI
3528,turning of the times,transition between significant time periods,AI
3529,time travel,journey into the past or future,AI
3530,magazine,regularly published printed publication,AI
3531,cell,smallest living unit of a living being,AI
3532,testimony,witness statement,AI
3533,interest rate cut,lowering of interest rates,AI
3534,circus,large tent or building showing animal acts and similar,AI
3535,affection,feeling of friendship or love,AI
3536,collapse,economic or financial collapse of a person or system,AI
3537,coexistence,act of living together,AI
3538,two thirds majority,qualified majority with a two thirds quorum,AI
3539,second division team,sports team in the second league,AI
3540,cycle,regular recurrence of an event or the time a full run needs,AI
3541,illustration,"pictorial representation; a more or less good copy of the real image of objects, people, situations, etc.",AI
3542,box office,ticket office where tickets are sold shortly before the evening event,AI
3543,departure time,scheduled takeoff time of an aircraft,AI
3544,house of representatives,the totality of members of parliament,AI
3545,offshoot,part/shoot of a plant that can grow into a new plant,AI
3546,deflection,deviation from a direction,AI
3547,sender,person or institution that sends information,AI
3548,removal from office,"removal from a post, usually against one's will",AI
3549,detour,small deviation or excursion,AI
3550,downwardly mobile person,someone whose social or professional status declines,AI
3551,department head,person who leads a department,AI
3552,wastewater,water polluted by domestic/industrial use and runoff,AI
3553,defensive captain,defensive player who directs other defenders,AI
3554,processing,handling/unwinding; removing from a roll,AI
3555,field,agricultural land that is regularly cultivated,AI
3556,administration,"administration, government, executive",AI
3557,Afghan,citizen or resident of Afghanistan,AI
3558,aggressor,attacker; someone who triggers a conflict,AI
3559,file,collection of related records,AI
3560,action plan,detailed concept of measures and approach for a larger project,AI
3561,action day,day for an action or campaign,AI
3562,update,updating,AI
3563,accent,pronunciation feature or intonation typical of a language,AI
3564,algorithm,precisely described procedure to solve a problem in finite steps,AI
3565,solo effort,doing something without outside help,AI
3566,alpine pasture,mountain pasture or meadow used in summer,AI
3567,alpha,first letter of the Greek alphabet,AI
3568,age limit,maximum or minimum permitted age,AI
3569,age class,group of people of the same age range,AI
3570,Alzheimer's disease,Alzheimer's disease,AI
3571,office holder,holder of a public office,AI
3572,ana,collection of sayings by famous people,AI
3573,approach,route to a destination,AI
3574,Ankara,capital of Turkey,AI
3575,indictment document,written application initiating court proceedings,AI
3576,echo,association with similar sounds,AI
3577,reliance,relationship where one side gets support from the other,AI
3578,remark,additional information given in writing or orally,AI
3579,neighboring resident,neighbor of a property or body of water,AI
3580,tension,mental or physical strain causing nervousness,AI
3581,Antarctica,continent around the South Pole,AI
3582,Antifa,people or groups that oppose fascism,AI
3583,introductory visit,first private or official visit to introduce oneself,AI
3584,apple,round fruit of the apple tree,AI
3585,pharmacist,expert in medicines; owner or employee of a pharmacy,AI
3586,appetite,desire to eat,AI
3587,malice,"malice, ill will, falseness, deceit",AI
3588,Argentine,citizen of Argentina,AI
3589,aroma,"specific, usually pleasant scent",AI
3590,asylum procedure,legal process to decide whether asylum is granted,AI
3591,atomic bomb,air-dropped bomb whose energy comes from a nuclear process,AI
3592,ramp,rising section of road leading to something,AI
3593,sticker,self-adhesive picture with any outline,AI
3594,clarification,answer or explanation for something,AI
3595,uprising,often armed resistance against an existing government,AI
3596,adding floors,addition of one or more floors to a building,AI
3597,elevator,means of transport for moving up and down,AI
3598,wink,brief closing and reopening of the eyelids,AI
3599,assembly hall,room for special events and assemblies,AI
3600,exploitation,extraction and utilization of resources,AI
3601,design,concrete design or implementation,AI
3602,excerpt,"portion cut out of a text, picture, film, or audio",AI
3603,pronunciation,"acoustic formation of sounds, words, and sentences",AI
3604,venue,place where a competition is held and decided,AI
3605,moving out,process of leaving a room or building,AI
3606,autonomy,right to give oneself laws and live by one's own laws,AI
3607,road traffic,traffic on roads caused by motor vehicles,AI
3608,bakehouse,building where baking is done,AI
3609,Bahrain,island state in the Persian Gulf,AI
3610,Baku,capital of Azerbaijan,AI
3611,ballet,art form of dance in theater,AI
3612,balloon,rubber shell that can be inflated with air or helium,AI
3613,basilica,public long hall building with raised nave and side aisles,AI
3614,construction worker,person whose job is to help build structures,AI
3615,start of construction,start date of construction work,AI
3616,construction yard,place where materials are stored,AI
3617,development,act of building up an area,AI
3618,order,"binding instruction, e.g., in the military or police",AI
3619,female respondent,female person being questioned or interviewed,AI
3620,finding,result of a test or report of findings,AI
3621,aid,additional support in the form of money or material gifts,AI
3622,accession,acquiring membership,AI
3623,user,person who uses something,AI
3624,advice center,public office where one can get advice,AI
3625,enrichment,gain or benefit for something,AI
3626,miner,male person working in mining,AI
3627,mountaineer,person who climbs a mountain,AI
3628,removal,removing something or being removed,AI
3629,inspection,event where someone views something in detail,AI
3630,taxation,levying taxes,AI
3631,record,best mark in a discipline at a given time,AI
3632,beta,second letter of the Greek alphabet,AI
3633,affectedness,state of being affected,AI
3634,bag,elastic container for holding things,AI
3635,approval,formal official approval,AI
3636,district office,highest administrative authority of a district,AI
3637,district authority,first-instance administrative authority of Austrian districts,AI
3638,bike,generic term for bicycle or motorcycle,AI
3639,biker,person who rides a bicycle or motorcycle,AI
3640,ministry of education,ministry responsible for education,AI
3641,tie,neckwear tied around the neck,AI
3642,bite,act of biting,AI
3643,diocese,district of a bishop,AI
3644,bladder,urinary bladder,AI
3645,brass music,music style using mainly wind instruments and drums,AI
3646,bond,"bond, security",AI
3647,boxer,person who practices boxing,AI
3648,boycott,organized isolation to exert pressure,AI
3649,bratwurst,sausage for frying or grilling,AI
3650,brigade,smallest large unit of land forces,AI
3651,explosiveness,feature of great significance or danger,AI
3652,book fair,exhibition for books,AI
3653,federal finance minister,head of the federal finance ministry,AI
3654,federal capital,capital of a federal state,AI
3655,Austrian Armed Forces,armed forces of Austria,AI
3656,federal cabinet,all ministers of the federal government including the chancellor,AI
3657,Chancellery,office of the federal chancellor,AI
3658,Federal Criminal Police Office,federal authority for fighting crime,AI
3659,federal election campaign,campaigning for a Bundestag election,AI
3660,Federal Administrative Court,highest court for public law disputes,AI
3661,bunker,bomb-proof shelter for people and equipment,AI
3662,butler,"servant working for a wealthy family, especially in Britain",AI
3663,camping,camping or staying in a caravan,AI
3664,chief physician,senior doctor in a hospital,AI
3665,Christianity,largest monotheistic world religion,AI
3666,cousin,son of an aunt or uncle,AI
3667,CPU,central processor of a computer,AI
3668,Creek,Native American tribe in the southeastern USA,AI
3669,debacle,"disastrous, unfortunate outcome",AI
3670,dino,dinosaur,AI
3671,division,process of dividing,AI
3672,documentary film,film depicting a topic realistically,AI
3673,kite,unmanned toy held by strings,AI
3674,urge,hard-to-control drive,AI
3675,triangle,geometric figure with three points not in a line,AI
3676,drug,biological substance with healing effect,AI
3677,drug use,consumption of illegal drugs,AI
3678,dark figure,estimated number of unreported cases,AI
3679,implementation,realization of a goal despite obstacles,AI
3680,corner kick,kick from the corner of the field,AI
3681,Ecuador,state in South America,AI
3682,ego,the self,AI
3683,Eifel,low mountain range in Germany,AI
3684,own goal,goal scored into one's own net,AI
3685,haste,urgency to get something done,AI
3686,installation,act of installing,AI
3687,inclusion,incorporation into a group,AI
3688,import,bringing goods or services from abroad,AI
3689,march in,marching into a building or area,AI
3690,beginner,person who starts something new,AI
3691,collapse,collapse of a structure,AI
3692,singles,singles in tennis,AI
3693,foreign land,land outside one's homeland; living abroad,AI
3694,parents' house,house where one grew up,AI
3695,parent,first-degree ancestor (father or mother),AI
3696,end result,effect at the end; result,AI
3697,final sprint,speeding up at the end of a race,AI
3698,energy consumption,amount of energy used,AI
3699,deployment,sending persons on a mission,AI
3700,disarmament,removal or surrender of weapons,AI
3701,withdrawal,"taking away, e.g., a license",AI
3702,inventor,person who invents something,AI
3703,recognition,recognition of something,AI
3704,investigating judge,judge reviewing investigative measures,AI
3705,murder,carrying out a planned killing,AI
3706,accessibility,ability to be reached,AI
3707,Ore Mountains,mountain range in Germany and Czechia,AI
3708,European Parliament,parliament of the European Union,AI
3709,evolution,slow and peaceful development in history or other processes in contrast to revolution,AI
3710,eternity,a long period of time,AI
3711,exchange,stock exchange or exchange,AI
3712,specimen,single item from a set of similar objects,AI
3713,express train,short for an express train,AI
3714,extremism,extreme political position attitude or movement,AI
3715,family history,course of development of a family,AI
3716,family life,way of living together of family members,AI
3717,fan community,group of people who are fans of something or someone,AI
3718,fashion,fashion as a loanword,AI
3719,end of workday,time or period when work ends,AI
3720,rock,large mass of hard rock rising in height,AI
3721,remote control,electrical control unit to operate devices from a distance,AI
3722,fortress,place strongly fortified by defensive works and of military importance,AI
3723,firefighter,person trained to extinguish fires and rescue people,AI
3724,filter,material for separating or filtering substances,AI
3725,finance chief,head of finance,AI
3726,financial situation,current financial circumstances,AI
3727,finch,member of the finch family in the order of passerines,AI
3728,flea market,market where used low value goods are sold usually by private persons,AI
3729,Florence,city in Italy,AI
3730,curse,imprecation spoken in anger,AI
3731,airfield,takeoff and landing place for aircraft,AI
3732,air traffic,movement of aircraft in the airspace,AI
3733,flyer,leaflet with information such as advertising that is distributed,AI
3734,penalty kick,penalty kick awarded for a foul in the penalty area,AI
3735,female group chair,female person who chairs a parliamentary group,AI
3736,free space,space or area kept free,AI
3737,amusement park,large area with various leisure options,AI
3738,hairdresser,professional for hair care and styling,AI
3739,frontman,band member with prominent role usually the lead singer,AI
3740,frustration,serious disappointment,AI
3741,findspot,place where something was found,AI
3742,furor,stir excitement and highest enthusiasm,AI
3743,caterer,professional in gastronomy,AI
3744,consideration,what compensates for something received,AI
3745,enclosure,fenced area where animals are kept,AI
3746,financier,person who provides money under certain conditions,AI
3747,validity,property of being recognized,AI
3748,municipal council election,election of municipal council members,AI
3749,municipal administration,administration of a municipality,AI
3750,accuracy,precision and absence of deviations,AI
3751,approval procedure,procedure that regulates granting permission,AI
3752,managing director,person who heads a large company or institution,AI
3753,dress rehearsal,last rehearsal before the premiere under performance conditions,AI
3754,major renovation,comprehensive renewal of something such as a building,AI
3755,Georgia,US state,AI
3756,tanner,person who tans and processes animal hides into leather,AI
3757,Germania,allegorical armored female figure symbolizing the German nation,AI
3758,overall package,totality of all parts,AI
3759,total number,all individual objects together,AI
3760,cohesion,tight cohesion of a community especially toward outsiders,AI
3761,rock,solid naturally occurring aggregation of minerals,AI
3762,cereal,grass grown for its edible grains,AI
3763,violent act,aggressive act using physical or technical force,AI
3764,garment,tailored materials that serve as body protection,AI
3765,business tax,tax on income from commercial activity,AI
3766,union member,male person who is a union member,AI
3767,guitarist,person who plays guitar professionally,AI
3768,goalkeeper,person whose position is in goal,AI
3769,gold medal,prize for first place in a competition,AI
3770,granite,rock of feldspar quartz and mica that is very hard,AI
3771,gray,gray color tones mostly black and white; gray paint,AI
3772,Greifswald,city in Mecklenburg Western Pomerania,AI
3773,border area,area of a state near a border,AI
3774,basic supply,provision of basic necessities,AI
3775,group match,match within a group in the preliminary round,AI
3776,guardian,head of a Franciscan or Capuchin convent elected for three years,AI
3777,guide,escort who guides strangers and helps with sightseeing,AI
3778,favor,favor or benevolence,AI
3779,shark,predatory fish living in the sea from the cartilaginous fish,AI
3780,Halle resident,inhabitant of the North Rhine Westphalia city of Halle,AI
3781,hello,loud calling or cheerful loud hubbub,AI
3782,wrist,joint connecting hand and forearm,AI
3783,handling,way of using something,AI
3784,towel,cloth used for drying,AI
3785,main round,first or most important round,AI
3786,homeowner,person who owns at least one house,AI
3787,house search,official police search of a building or rooms,AI
3788,budget draft,draft for a state budget,AI
3789,budget situation,financial situation of the budget,AI
3790,house number,unique number of a building,AI
3791,skin color,color of the skin,AI
3792,well being,personal welfare happiness health recovery,AI
3793,local heritage association,association to preserve local heritage,AI
3794,way home,the way home,AI
3795,publication,publication or issue,AI
3796,ruler,head of a tribe people realm or country,AI
3797,ascension,going up into heaven,AI
3798,devotion,strong passion or inner involvement,AI
3799,back of the head,back part of the head,AI
3800,Holland,region in the Netherlands,AI
3801,horror,terror and shudder born of experience,AI
3802,hot,hot or trendy in English,AI
3803,hunter,hunter; English name,AI
3804,cough,cold illness with frequent coughing,AI
3805,anthem,short for national anthem,AI
3806,Ibiza,island of the Balearics,AI
3807,ideal case,state as good as it can be,AI
3808,identification,determination of who or what something is,AI
3809,real estate market,totality of activities around marketing and developing real estate,AI
3810,import,process of importing goods and services,AI
3811,indicator,tool that shows reaching or leaving certain states,AI
3812,industrial area,area where only industrial commercial use is allowed,AI
3813,computer science,science dealing with information and its automatic processing,AI
3814,engineer,graduate in engineering sciences,AI
3815,female owner,female person who owns something,AI
3816,imprisonment,arrest of a person,AI
3817,insolvency proceedings,proceedings in case of insolvency,AI
3818,error,unintentional false assumption,AI
3819,Jamaica,island state in the Caribbean,AI
3820,yogurt,thick milk product fermented by lactic acid bacteria,AI
3821,youth welfare office,authority responsible for public youth welfare,AI
3822,youth assistance,help services for youth,AI
3823,youth organization,organization specifically for youths,AI
3824,justice minister,head of the justice ministry,AI
3825,Kabul,capital of Afghanistan,AI
3826,Cairo,capital of Egypt,AI
3827,cocoa,cocoa tree seeds,AI
3828,rabbit,animal similar to hare but smaller with shorter ears,AI
3829,edge,sharp edge or border on fabrics,AI
3830,crust,outer browned crust of a loaf of bread,AI
3831,cantonal council,legislative assembly in Swiss cantons,AI
3832,chancellor,female head of government,AI
3833,chancellor candidate,candidate for chancellor,AI
3834,cap,head covering fitting the head,AI
3835,Good Friday,Friday of Holy Week commemorating the crucifixion,AI
3836,cardboard,stiff paper like product,AI
3837,Kasper,funny main figure of a puppet theater,AI
3838,catalog,systematic list such as a sales catalog,AI
3839,waiter,restaurant employee serving guests,AI
3840,connoisseur,person with above average knowledge in a field,AI
3841,marking,process of marking,AI
3842,feature film,film intended for cinema screening,AI
3843,crate,solid container usually made of wood,AI
3844,classical era,classical art and literature of the Augustan era,AI
3845,foot and mouth disease,animal disease of cloven hoofed animals,AI
3846,toddler,child under six years,AI
3847,small van,small transporter,AI
3848,air conditioner,electric device that adjusts air properties,AI
3849,garlic,spice and medicinal plant Allium sativum,AI
3850,carbon dioxide,colorless odorless gas,AI
3851,collapse,sudden end of functioning of a body or system,AI
3852,collective,social structure whose members can be grouped by a common aspect,AI
3853,comedian,person who is funny or says things not really funny,AI
3854,commentator,person who discusses and judges something,AI
3855,local politician,politician active in local politics,AI
3856,compliment,remark valued positively by the listener,AI
3857,consistency,cohesion and stability,AI
3858,corporate chief,head of a corporate group,AI
3859,headscarf,cloth worn on the head for weather fashion or religious reasons,AI
3860,copy,replica of an original,AI
3861,cosmos,the universe,AI
3862,quarrel,loud dispute,AI
3863,collar,part of clothing enclosing the neck,AI
3864,nurse,female nurse caring for the sick,AI
3865,scratch,small to medium injury or damage from a sharp object,AI
3866,cow,female domestic cattle,AI
3867,cultural center,large building complex with museums lecture halls etc,AI
3868,mate,person one likes and shares interests with,AI
3869,customer service,regular or additional service for a customer,AI
3870,laugher,person who laughs,AI
3871,campfire,open fire lit outdoors often at a campsite,AI
